問題,選択肢A,選択肢B,選択肢C,選択肢D,解答,ヒント,原型,意味
You can [ ] the cake into many pieces easily.,cuts,cutting,cut,cutted,cut,助動詞「can」の後ろには動詞の原型がきます。,cut,切る
The chef [ ] the vegetables for the soup two hours ago.,cuts,cut,cutting,cutted,cut,文末に「two hours ago（2時間前）」という過去の言葉があります。,cut,切る
The pieces of paper have been [ ] into stars by the children.,cuts,cutting,cut,cutted,cut,受動態「have been + 過去分詞」の形を作ります。,cut,切る
You should not [ ] the dog with that stick.,hits,hitting,hit,hitted,hit,助動詞「should」の後ろには動詞の原型がきます。,hit,打つ
The batter [ ] a home run in the game yesterday.,hits,hit,hitting,hitted,hit,文末に「yesterday（昨日）」という過去の言葉があります。,hit,打つ
The car was [ ] by a falling tree during the storm.,hits,hitting,hit,hitted,hit,受動態「was + 過去分詞」の形を作ります。,hit,打つ
Please [ ] your bags on the shelf over there.,puts,putting,put,putted,put,命令文の冒頭（Pleaseの後ろ）には動詞の原型がきます。,put,置く
Yesterday morning, he [ ] his keys on the kitchen counter.,puts,put,putting,putted,put,冒頭に「Yesterday morning（昨日の朝）」という過去の言葉があります。,put,置く
Where have you [ ] my passport? I can't find it.,puts,putting,put,putted,put,現在完了形「have + 過去分詞」の形を作ります。,put,置く
He wants to [ ] a professional soccer player in the future.,becomes,becoming,became,become,become,不定詞「to」の後ろには動詞の原型がきます。,become,～になる
She studied hard and [ ] a doctor last year.,becomes,became,becoming,becomed,became,文末に「last year（昨年）」という過去の言葉があります。,become,～になる
It has [ ] very cold outside since this morning.,becomes,becoming,became,become,become,現在完了形「has + 過去分詞」の形を作ります。,become,～になる
They will [ ] to Japan from America next week.,comes,came,coming,come,come,助動詞「will」の後ろには動詞の原型がきます。,come,来る
My grandmother [ ] to see us last Sunday.,comes,came,coming,comed,came,文末に「last Sunday（先週の日曜日）」という過去の言葉があります。,come,来る
The package has finally [ ] from the online store.,comes,coming,came,come,come,現在完了形「has + 過去分詞」の形を作ります。,come,来る
I like to [ ] in the park every morning.,runs,running,ran,run,run,不定詞「to」の後ろには動詞の原型がきます。,run,走る
Yesterday, he [ ] five miles to prepare for the race.,runs,ran,running,runned,ran,冒頭に「Yesterday（昨日）」という過去の言葉があります。,run,走る
She has [ ] a full marathon three times before.,runs,running,ran,run,run,現在完了形「has + 過去分詞」の形を作ります。,run,走る
Please remember to [ ] your textbook tomorrow.,brings,bringing,brought,bring,bring,命令文の冒頭（Pleaseの後ろ）には動詞の原型がきます。,bring,持ってくる
He [ ] some delicious cookies to the party yesterday.,brings,brought,bringing,bringed,brought,文末に「yesterday（昨日）」という過去の言葉があります。,bring,持ってくる
Look what the cat has [ ] inside the house!,brings,bringing,brought,bringed,brought,現在完了形「has + 過去分詞」の形を作ります。,bring,持ってくる
They plan to [ ] a new house near the station.,builds,building,built,build,build,不定詞「to」の後ろには動詞の原型がきます。,build,立てる
The ancient Romans [ ] this beautiful bridge long ago.,builds,built,building,builded,built,文末に「long ago（ずっと昔）」という過去の言葉があります。,build,立てる
This school was [ ] in 1990 by a famous architect.,builds,building,built,builded,built,受動態「was + 過去分詞」の形を作ります。,build,立てる
I want to [ ] a new smartphone this weekend.,buys,buying,bought,buy,buy,不定詞「to」の後ろには動詞の原型がきます。,buy,買う
My father [ ] a new car two weeks ago.,buys,bought,buying,buyed,bought,文末に「two weeks ago（2週間前）」という過去の言葉があります。,buy,買う
I have already [ ] the tickets for the concert.,buys,buying,bought,buyed,bought,現在完了形「have + 過去分詞」の形を作ります。,buy,買う
It is difficult to [ ] a ball with one hand.,catches,catching,caught,catch,catch,不定詞「to」の後ろには動詞の原型がきます。,catch,捕らえる
The police officer [ ] the thief after a long chase yesterday.,catches,caught,catching,catched,caught,文末に「yesterday（昨日）」という過去の言葉があります。,catch,捕らえる
The criminal was [ ] by the security cameras last night.,catches,catching,caught,catched,caught,受動態「was + 過去分詞」の形を作ります。,catch,捕らえる
You can [ ] the soft texture of this silk fabric.,feels,feeling,felt,feel,feel,助動詞「can」の後ろには動詞の原型がきます。,feel,感じる
I [ ] very tired after walking all day yesterday.,feels,felt,feeling,feeled,felt,文末に「yesterday（昨日）」という過去の言葉があります。,feel,感じる
He has always [ ] happy living in this quiet town.,feels,feeling,felt,feeled,felt,現在完了形「has + 過去分詞」の形を作ります。,feel,感じる
I need to [ ] my lost wallet as soon as possible.,finds,finding,found,find,find,不定詞「to」の後ろには動詞の原型がきます。,find,見つける
We [ ] a beautiful seashell on the beach yesterday.,finds,found,finding,finded,found,文末に「yesterday（昨日）」という過去の言葉があります。,find,見つける
The missing keys have finally been [ ] under the sofa.,finds,finding,found,finded,found,受動態「have been + 過去分詞」の形を作ります。,find,見つける
We must [ ] for our basic human rights.,fights,fighting,fought,fight,fight,助動詞「must」の後ろには動詞の原型がきます。,fight,戦う
The soldiers [ ] bravely in the battle last night.,fights,fought,fighting,fighted,fought,文末に「last night（昨夜）」という過去の言葉があります。,fight,戦う
The disease has been [ ] by scientists for many years.,fights,fighting,fought,fighted,fought,受動態「have been + 過去分詞」の形を作ります。,fight,戦う
You should [ ] some rest if you feel sick.,gets,getting,got,get,get,助動詞「should」の後ろには動詞の原型がきます。,get,得る
She [ ] an email from her teacher yesterday afternoon.,gets,got,getting,getted,got,文末に「yesterday afternoon（昨日の午後）」という過去の言葉があります。,get,得る
I have [ ] a cold and cannot attend the meeting today.,gets,getting,got,getted,got,現在完了形「have + 過去分詞」の形を作ります。,get,得る
They [ ] a large garden in their house.,has,having,had,have,have,主語が「They」の現在の文では「have」を使います。,have/has,持っている
We [ ] a big party at our house last night.,has,have,had,having,had,文末に「last night（昨夜）」という過去の言葉があります。,have/has,持っている
She has [ ] this camera since she was a high school student.,has,have,had,having,had,現在完了形「has + 過去分詞」の形を作ります。,have/has,持っている
Can you [ ] the sound of the ocean from here?,hears,hearing,heard,hear,hear,助動詞「Can」の後ろには動詞の原型がきます。,hear,聞く
I [ ] a strange noise outside my room last night.,hears,heard,hearing,heared,heard,文末に「last night（昨夜）」という過去の言葉があります。,hear,聞く
Have you [ ] the news about the upcoming festival?,hears,hearing,heard,heared,heard,現在完了形「Have you + 過去分詞」の形を作ります。,hear,聞く
Please [ ] the baby's hand when crossing the street.,holds,holding,held,hold,hold,命令文の冒頭（Pleaseの後ろ）には動詞の原型がきます。,hold,持つ
The manager [ ] a meeting to discuss the new project yesterday.,holds,held,holding,holded,held,文末に「yesterday（昨日）」という過去の言葉があります。,hold,持つ
The event has been [ ] in this hall every year since 2010.,holds,holding,held,holded,held,受動態「have been + 過去分詞」の形を作ります。,hold,持つ
You must [ ] your room clean and tidy.,keeps,keeping,kept,keep,keep,助動詞「must」の後ろには動詞の原型がきます。,keep,保つ
He [ ] his promise to help me with my homework yesterday.,keeps,kept,keeping,keeped,kept,文末に「yesterday（昨日）」という過去の言葉があります。,keep,保つ
The secret has been [ ] for more than fifty years.,keeps,keeping,kept,keeped,kept,受動態「have been + 過去分詞」の形を作ります。,keep,保つ
What time do you usually [ ] home in the morning?,leaves,leaving,left,leave,leave,疑問文「do you + 動詞の原型」の形を作ります。,leave,去る
The train [ ] the station exactly ten minutes ago.,leaves,left,leaving,leaved,left,文末に「ten minutes ago（10分前）」という過去の言葉があります。,leave,去る
She has already [ ] the office to catch her flight.,leaves,leaving,left,leaved,left,現在完了形「has + 過去分詞」の形を作ります。,leave,去る
A good captain should [ ] the team to victory.,leads,leading,led,lead,lead,助動詞「should」の後ろには動詞の原型がきます。,lead,導く
The guide [ ] the tourists through the old city yesterday.,leads,led,leading,leaded,led,文末に「yesterday（昨日）」という過去の言葉があります。,lead,導く
His hard work has [ ] him to a great success.,leads,leading,led,leaded,led,現在完了形「has + 過去分詞」の形を作ります。,lead,導く
Could you [ ] me your umbrella until tomorrow?,lends,lending,lent,lend,lend,助動詞「Could」の後ろには動詞の原型がきます。,lend,貸す
He [ ] his favorite book to his classmate last week.,lends,lent,lending,lended,lent,文末に「last week（先週）」という過去の言葉があります。,lend,貸す
The money was [ ] to the company by a local bank.,lends,lending,lent,lended,lent,受動態「was + 過去分詞」の形を作ります。,lend,貸す
I don't want to [ ] my keys again.,loses,losing,lost,lose,lose,不定詞「to」の後ろには動詞の原型がきます。,lose,失う
She [ ] her favorite watch at the park yesterday.,loses,lost,losing,losed,lost,文末に「yesterday（昨日）」という過去の言葉があります。,lose,失う
I have [ ] my passport and cannot find it anywhere.,loses,losing,lost,losed,lost,現在完了形「have + 過去分詞」の形を作ります。,lose,失う
They plan to [ ] a beautiful garden in the yard.,makes,making,made,make,make,不定詞「to」の後ろには動詞の原型がきます。,make,作る
My mother [ ] a delicious chocolate cake last Sunday.,makes,made,making,maked,made,文末に「last Sunday（先週の日曜日）」という過去の言葉があります。,make,作る
This computer was [ ] in Japan five years ago.,makes,making,made,maked,made,受動態「was + 過去分詞」の形を作ります。,make,作る
What does this strange symbol [ ]?,means,meaning,meant,mean,mean,疑問文「does + 主語 + 動詞の原型」の形を作ります。,mean,意味する
I'm sorry, I [ ] to say something completely different yesterday.,means,meant,meaning,meaned,meant,文末に「yesterday（昨日）」という過去の言葉があります。,mean,意味する
The word has always [ ] something special to our family.,means,meaning,meant,meaned,meant,現在完了形「has + 過去分詞」の形を作ります。,mean,意味する
We are going to [ ] the new teacher tomorrow morning.,meets,meeting,met,meet,meet,「be going to + 動詞の原型」の形を作ります。,meet,会う
I [ ] an old friend at the station yesterday afternoon.,meets,met,meeting,meeted,met,文末に「yesterday afternoon（昨日の午後）」という過去の言葉があります。,meet,会う
Have you ever [ ] a famous person before?,meets,meeting,met,meeted,met,現在完了形「Have you + 過去分詞」の形を作ります。,meet,会う
You must [ ] the fee before the end of this month.,pays,paying,paid,pay,pay,助動詞「must」の後ろには動詞の原型がきます。,pay,払う
He [ ] cash for his new bicycle yesterday morning.,pays,paid,paying,payed,paid,文末に「yesterday morning（昨日の朝）」という過去の言葉があります。,pay,払う
The electricity bill has already been [ ] by my father.,pays,paying,paid,payed,paid,受動態「have been + 過去分詞」の形を作ります。,pay,払う
You should [ ] this English textbook every day.,reads,reading,read,readed,read,助動詞「should」の後ろには動詞の原型がきます。,read,読む
She [ ] an interesting article in the newspaper yesterday.,reads,read,reading,readed,read,文末に「yesterday（昨日）」という過去の言葉があります。（※発音はレッド）,read,読む
I have already [ ] all the books on this shelf.,reads,reading,read,readed,read,現在完了形「have + 過去分詞」の形を作ります。（※発音はレッド）,read,読む
It is important to [ ] "thank you" to everyone.,says,saying,said,say,say,不定詞「to」の後ろには動詞の原型がきます。,say,言う
Our teacher [ ] something very important during the class yesterday.,says,said,saying,sayed,said,文末に「yesterday（昨日）」という過去の言葉があります。,say,言う
Nothing has been [ ] about the project since last week.,says,saying,said,sayed,said,受動態「have been + 過去分詞」の形を作ります。,say,言う
We want to [ ] our old car to buy a new one.,sells,selling,sold,sell,sell,不定詞「to」の後ろには動詞の原型がきます。,sell,売る
The baker [ ] all of his bread before noon yesterday.,sells,sold,selling,selled,sold,文末に「yesterday（昨日）」という過去の言葉があります。,sell,売る
The tickets for the concert have been completely [ ] out.,sells,selling,sold,selled,sold,受動態「have been + 過去分詞」の形を作ります。,sell,売る
Please remember to [ ] an email to the client tomorrow.,sends,sending,sent,send,send,命令文の冒頭（Pleaseの後ろ）には動詞の原型がきます。,send,送る
My uncle [ ] me a wonderful birthday present last week.,sends,sent,sending,sended,sent,文末に「last week（先週）」という過去の言葉があります。,send,送る
The package has been [ ] to the wrong address.,sends,sending,sent,sended,sent,受動態「have been + 過去分詞`」の形を作ります。,send,送る
The moon will [ ] brightly in the sky tonight.,shines,shining,shone,shine,shine,助動詞「will」の後ろには動詞の原型がきます。,shine,輝く
The sun [ ] all day long during our trip yesterday.,shines,shone,shining,shined,shone,文末に「yesterday（昨日）」という過去の言葉があります。,shine,輝く
A bright light was [ ] directly into the dark room.,shines,shining,shone,shined,shone,過去進行形または受動表現の「過去分詞」として使われます。,shine,輝く
You can [ ] on this comfortable sofa while waiting.,sits,sitting,sat,sit,sit,助動詞「can」の後ろには動詞の原型がきます。,sit,座る
The old man [ ] on the bench for two hours yesterday.,sits,sat,sitting,sitted,sat,文末に「yesterday（昨日）」という過去の言葉があります。,sit,座る
He has [ ] in that chair since this morning.,sits,sitting,sat,sitted,sat,現在完了形「has + 過去分詞」の形を作ります。,sit,座る
Children need to [ ] at least eight hours a night.,sleeps,sleeping,slept,sleep,sleep,不定詞「to」の後ろには動詞の原型がきます。,sleep,眠る
I was so tired that I [ ] for ten hours last night.,sleeps,slept,sleeping,sleeped,slept,文末に「last night（昨夜）」という過去の言葉があります。,sleep,眠る
The baby has [ ] peacefully in the crib all afternoon.,sleeps,sleeping,slept,sleeped,slept,現在完了形「has + 過去分詞」の形を作ります。,sleep,眠る
How much money do you want to [ ] on clothes?,spends,spending,spent,spend,spend,不定詞「to」の後ろには動詞の原型がきます。,spend,過ごす
We [ ] our summer vacation at the beach last year.,spends,spent,spending,spended,spent,文末に「last year（昨年）」という過去の言葉があります。,spend,過ごす
